rank;alpha;lambda;model_ids;residual_deviance
489;[0.08];2,47707635599171e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_387;35488,3038870673
490;[0.04];2,47707635599171e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_78;35488,4335493689
491;[0.06];2,47707635599171e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_433;35488,5172985888
492;[0.1];2,15443469003188e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_454;35488,7550433380
493;[0.0];4,64158883361278e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_119;35488,8597144624
494;[0.02];3,27454916287773e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_80;35488,9509493438
495;[0.06];2,84803586843580e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_179;35489,3570597870
496;[0.02];3,05385550883342e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_262;35489,4964949110
497;[0.02];2,84803586843580e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_70;35489,5013228651
498;[0.0];4,97702356433211e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_397;35490,7185916171
499;[0.1];2,31012970008316e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_149;35491,0110051309
500;[0.02];3,51119173421513e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_66;35491,1884986795
501;[0.08];2,65608778294669e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_518;35491,4042960155
502;[0.04];3,51119173421513e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_467;35491,4534491494
503;[0.06];3,05385550883342e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_577;35491,9485206324
504;[0.0];5,33669923120631e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_81;35492,6823503704
505;[0.02];3,76493580679247e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_363;35492,7693057511
506;[0.06];3,27454916287773e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_500;35493,6769445199
507;[0.08];2,84803586843580e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_379;35494,0254934114
508;[0.04];3,76493580679247e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_287;35494,3766889617
509;[0.0];5,72236765935022e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_32;35494,7532977230
